country,topic_l2,year,resolution_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,not_recorded_pct,country_missing_count,unknown_vote_count
CPV,CULTURAL DEVELOPMENT,2024,0,0,0,,0,,0,,0,,0,0
CPV,CULTURAL DEVELOPMENT,2025,3,2,2,100.00,0,0.00,0,0.00,1,33.33,0,0
CPV,"DECOLONIZATION, TRUSTEESHIP AND APARTHIED",2024,14,14,14,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,"DECOLONIZATION, TRUSTEESHIP AND APARTHIED",2025,11,10,10,100.00,0,0.00,0,0.00,0,0.00,1,0
CPV,DEVELOPMENT,2024,7,7,7,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,DEVELOPMENT,2025,44,44,44,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,2025,6,6,6,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,DEVELOPMENT FINANCE,2024,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,DEVELOPMENT FINANCE,2025,11,11,11,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,DISARMAMENT AND MILITARY QUESTIONS,2024,41,33,33,100.00,0,0.00,0,0.00,8,19.51,0,0
CPV,DISARMAMENT AND MILITARY QUESTIONS,2025,42,41,41,100.00,0,0.00,0,0.00,0,0.00,1,0
CPV,"DISASTER PREVENTION, PREPAREDNESS AND RELIEF",2024,0,0,0,,0,,0,,0,,0,0
CPV,"DISASTER PREVENTION, PREPAREDNESS AND RELIEF",2025,5,5,5,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,DISCRIMINATION,2024,6,5,5,100.00,0,0.00,0,0.00,1,16.67,0,0
CPV,DISCRIMINATION,2025,8,8,8,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,DISEASE PREVENTION AND CONTROL,2024,0,0,0,,0,,0,,0,,0,0
CPV,DISEASE PREVENTION AND CONTROL,2025,4,4,4,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,DISEASES AND CARRIERS OF DISEASES,2024,0,0,0,,0,,0,,0,,0,0
CPV,DISEASES AND CARRIERS OF DISEASES,2025,4,4,4,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,ECONOMIC CONDITIONS,2024,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,ECONOMIC CONDITIONS,2025,11,11,11,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,ECONOMIC THEORY,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,ECONOMIC THEORY,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,EDUCATIONAL POLICY AND PLANNING,2024,0,0,0,,0,,0,,0,,0,0
CPV,EDUCATIONAL POLICY AND PLANNING,2025,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,EMPLOYMENT PROMOTION AND PLANNING,2024,0,0,0,,0,,0,,0,,0,0
CPV,EMPLOYMENT PROMOTION AND PLANNING,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,ENERGY RESOURCES,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,ENERGY RESOURCES,2025,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
