country,topic_l2,status,2024_resolution_count,2025_resolution_count,resolution_count_change,2024_recorded_vote_count,2025_recorded_vote_count,recorded_vote_count_change,2024_not_recorded_count,2025_not_recorded_count,not_recorded_count_change,2024_country_missing_count,2025_country_missing_count,country_missing_count_change,2024_unknown_vote_count,2025_unknown_vote_count,unknown_vote_count_change,2024_yes_count,2025_yes_count,yes_count_change,2024_yes_pct,2025_yes_pct,yes_pct_change_pp,2024_abstain_count,2025_abstain_count,abstain_count_change,2024_abstain_pct,2025_abstain_pct,abstain_pct_change_pp,2024_no_count,2025_no_count,no_count_change,2024_no_pct,2025_no_pct,no_pct_change_pp,abs_yes_pct_change_pp
USA,SPACE SCIENCES,PRESENT_IN_BOTH,1,5,4,1,5,4,0,0,0,0,0,0,0,0,0,1,0,-1,100.00,0.00,-100.00,0,0,0,0.00,0.00,0.00,0,5,5,0.00,100.00,100.00,100.00
USA,PUBLIC FINANCE,PRESENT_IN_BOTH,1,4,3,1,4,3,0,0,0,0,0,0,0,0,0,1,0,-1,100.00,0.00,-100.00,0,0,0,0.00,0.00,0.00,0,4,4,0.00,100.00,100.00,100.00
USA,WILDLIFE,PRESENT_IN_BOTH,1,4,3,1,4,3,0,0,0,0,0,0,0,0,0,1,0,-1,100.00,0.00,-100.00,0,1,1,0.00,25.00,25.00,0,3,3,0.00,75.00,75.00,100.00
USA,WOMEN'S ADVANCEMENT,PRESENT_IN_BOTH,1,4,3,1,4,3,0,0,0,0,0,0,0,0,0,1,0,-1,100.00,0.00,-100.00,0,0,0,0.00,0.00,0.00,0,4,4,0.00,100.00,100.00,100.00
USA,ENERGY RESOURCES,PRESENT_IN_BOTH,1,3,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,-1,100.00,0.00,-100.00,0,0,0,0.00,0.00,0.00,0,3,3,0.00,100.00,100.00,100.00
USA,LAW OF THE SEA,PRESENT_IN_BOTH,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,-1,100.00,0.00,-100.00,0,2,2,0.00,100.00,100.00,0,0,0,0.00,0.00,0.00,100.00
USA,WATER,PRESENT_IN_BOTH,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,-2,100.00,0.00,-100.00,0,0,0,0.00,0.00,0.00,0,2,2,0.00,100.00,100.00,100.00
USA,MINERAL RESOURCES,PRESENT_IN_BOTH,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,100.00,0.00,-100.00,0,0,0,0.00,0.00,0.00,0,1,1,0.00,100.00,100.00,100.00
USA,RECOMMENDATIONS,PRESENT_IN_BOTH,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,100.00,0.00,-100.00,0,0,0,0.00,0.00,0.00,0,1,1,0.00,100.00,100.00,100.00
USA,ENVIRONMENT,PRESENT_IN_BOTH,3,25,22,3,25,22,0,0,0,0,0,0,0,0,0,2,0,-2,66.67,0.00,-66.67,1,3,2,33.33,12.00,-21.33,0,22,22,0.00,88.00,88.00,66.67
USA,MARINE RESOURCES,PRESENT_IN_BOTH,3,7,4,3,7,4,0,0,0,0,0,0,0,0,0,2,0,-2,66.67,0.00,-66.67,0,2,2,0.00,28.57,28.57,1,5,4,33.33,71.43,38.10,66.67
USA,NUCLEAR SCIENCE,PRESENT_IN_BOTH,4,3,-1,3,3,0,1,0,-1,0,0,0,0,0,0,2,0,-2,66.67,0.00,-66.67,0,0,0,0.00,0.00,0.00,1,3,2,33.33,100.00,66.67,66.67
USA,WELFARE AND SOCIAL SERVICES,PRESENT_IN_BOTH,2,14,12,2,14,12,0,0,0,0,0,0,0,0,0,1,0,-1,50.00,0.00,-50.00,1,0,-1,50.00,0.00,-50.00,0,14,14,0.00,100.00,100.00,50.00
USA,INTERNATIONAL LAW,PRESENT_IN_BOTH,10,44,34,10,44,34,0,0,0,0,0,0,0,0,0,4,2,-2,40.00,4.55,-35.45,2,4,2,20.00,9.09,-10.91,4,38,34,40.00,86.36,46.36,35.45
USA,POLLUTION,PRESENT_IN_BOTH,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,-1,33.33,0.00,-33.33,1,1,0,33.33,33.33,0.00,1,2,1,33.33,66.67,33.33,33.33
USA,DISARMAMENT AND MILITARY QUESTIONS,PRESENT_IN_BOTH,41,42,1,40,42,2,1,0,-1,0,0,0,0,0,0,17,4,-13,42.50,9.52,-32.98,5,5,0,12.50,11.90,-0.60,18,33,15,45.00,78.57,33.57,32.98
USA,POLITICAL EVENTS AND ISSUES,PRESENT_IN_BOTH,14,21,7,14,21,7,0,0,0,0,0,0,0,0,0,6,3,-3,42.86,14.29,-28.57,1,0,-1,7.14,0.00,-7.14,7,18,11,50.00,85.71,35.71,28.57
USA,INTERNATIONAL RELATIONS,PRESENT_IN_BOTH,28,48,20,28,48,20,0,0,0,0,0,0,0,0,0,9,4,-5,32.14,8.33,-23.81,4,0,-4,14.29,0.00,-14.29,15,44,29,53.57,91.67,38.10,23.81
USA,"POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS",PRESENT_IN_BOTH,28,53,25,28,53,25,0,0,0,0,0,0,0,0,0,9,5,-4,32.14,9.43,-22.71,1,1,0,3.57,1.89,-1.68,18,47,29,64.29,88.68,24.39,22.71
USA,MAINTENANCE OF PEACE AND SECURITY,PRESENT_IN_BOTH,29,47,18,28,47,19,1,0,-1,0,0,0,0,0,0,9,5,-4,32.14,10.64,-21.50,3,4,1,10.71,8.51,-2.20,16,38,22,57.14,80.85,23.71,21.50
USA,SOCIAL DEVELOPMENT,PRESENT_IN_BOTH,8,24,16,8,24,16,0,0,0,0,0,0,0,0,0,2,1,-1,25.00,4.17,-20.83,1,0,-1,12.50,0.00,-12.50,5,23,18,62.50,95.83,33.33,20.83
USA,DISCRIMINATION,PRESENT_IN_BOTH,6,8,2,6,8,2,0,0,0,0,0,0,0,0,0,2,1,-1,33.33,12.50,-20.83,1,0,-1,16.67,0.00,-16.67,3,7,4,50.00,87.50,37.50,20.83
USA,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,PRESENT_IN_BOTH,5,8,3,5,8,3,0,0,0,0,0,0,0,0,0,2,2,0,40.00,25.00,-15.00,1,0,-1,20.00,0.00,-20.00,2,6,4,40.00,75.00,35.00,15.00
USA,DEVELOPMENT,PRESENT_IN_BOTH,7,44,37,7,44,37,0,0,0,0,0,0,0,0,0,1,0,-1,14.29,0.00,-14.29,0,0,0,0.00,0.00,0.00,6,44,38,85.71,100.00,14.29,14.29
USA,HUMAN RIGHTS,PRESENT_IN_BOTH,13,19,6,13,19,6,0,0,0,0,0,0,0,0,0,3,2,-1,23.08,10.53,-12.55,1,0,-1,7.69,0.00,-7.69,9,17,8,69.23,89.47,20.24,12.55
USA,"DECOLONIZATION, TRUSTEESHIP AND APARTHIED",PRESENT_IN_BOTH,14,11,-3,14,11,-3,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1,0,-1,7.14,0.00,-7.14,13,11,-2,92.86,100.00,7.14,0.00
USA,DEVELOPMENT FINANCE,PRESENT_IN_BOTH,2,11,9,2,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,2,11,9,100.00,100.00,0.00,0.00
USA,ECONOMIC CONDITIONS,PRESENT_IN_BOTH,2,11,9,2,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,2,11,9,100.00,100.00,0.00,0.00
USA,RESOURCES (GENERAL),PRESENT_IN_BOTH,1,9,8,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,1,1,0.00,11.11,11.11,1,8,7,100.00,88.89,-11.11,0.00
