iso3,p3_2025,world_avg_2025,diff_from_world_avg,broad_region,broad_region_avg_2025,diff_from_broad_region_avg,region,majority_alignment_rate_2025,vote_mix_distance_l1_2025,total_2025
LUX,88.31,92.84,-4.52,Western Europe,88.58,-0.27,Western Europe,78.65,18.77,192
MNE,88.32,92.84,-4.51,Southern Europe,88.32,-0.0,Southern Europe,78.65,18.77,192
AUS,88.63,92.84,-4.2,Oceania,91.48,-2.85,Australia and New Zealand,79.17,17.73,192
ESP,88.63,92.84,-4.2,Southern Europe,88.32,0.31,Southern Europe,79.17,17.73,192
PRT,88.63,92.84,-4.2,Southern Europe,88.32,0.31,Southern Europe,79.17,17.73,192
NOR,88.64,92.84,-4.19,Northern Europe,87.34,1.3,Northern Europe,79.17,17.73,192
BIH,88.87,92.84,-3.96,Southern Europe,88.32,0.55,Southern Europe,79.58,16.9,191
SVN,88.94,92.84,-3.9,Southern Europe,88.32,0.62,Southern Europe,79.69,16.69,192
FJI,88.99,92.84,-3.84,Oceania,91.48,-2.49,Melanesia,80.0,16.26,185
TUR,89.33,92.84,-3.51,Western Asia,90.18,-0.86,Western Asia,80.32,15.43,188
MDA,89.5,92.84,-3.33,Eastern Europe,85.9,3.6,Eastern Europe,80.63,14.81,191
SRB,89.7,92.84,-3.13,Southern Europe,88.32,1.38,Southern Europe,81.29,16.4,171
JPN,89.84,92.84,-3.0,Eastern Asia,91.15,-1.31,Eastern Asia,81.25,13.56,192
AUT,89.87,92.84,-2.96,Western Europe,88.58,1.29,Western Europe,81.25,13.56,192
MHL,90.12,92.84,-2.71,Oceania,91.48,-1.36,Micronesia,81.77,12.53,181
PLW,90.18,92.84,-2.65,Oceania,91.48,-1.3,Micronesia,82.08,15.51,173
IRL,90.48,92.84,-2.35,Northern Europe,87.34,3.14,Northern Europe,82.29,11.48,192
STP,90.67,92.84,-2.17,Sub-Saharan Africa,96.68,-6.01,Middle Africa,83.33,19.32,12
AND,90.67,92.84,-2.16,Southern Europe,88.32,2.35,Southern Europe,82.63,10.8,190
BLR,91.02,92.84,-1.82,Eastern Europe,85.9,5.12,Eastern Europe,83.25,9.57,191
CHE,91.04,92.84,-1.79,Western Europe,88.58,2.46,Western Europe,83.33,9.4,192
LIE,91.07,92.84,-1.77,Western Europe,88.58,2.49,Western Europe,83.33,9.4,192
CYP,91.08,92.84,-1.76,Western Asia,90.18,0.9,Western Asia,83.33,9.4,192
SMR,91.08,92.84,-1.76,Southern Europe,88.32,2.76,Southern Europe,83.33,9.4,192
IND,91.22,92.84,-1.61,Southern Asia,95.88,-4.65,Southern Asia,83.85,13.07,192
NZL,91.36,92.84,-1.47,Oceania,91.48,-0.12,Australia and New Zealand,83.85,8.36,192
PNG,91.42,92.84,-1.41,Oceania,91.48,-0.06,Melanesia,83.98,8.11,181
MLT,91.67,92.84,-1.16,Southern Europe,88.32,3.35,Southern Europe,84.38,7.31,192
TON,92.06,92.84,-0.78,Oceania,91.48,0.58,Polynesia,85.06,5.95,174
WSM,92.58,92.84,-0.25,Oceania,91.48,1.1,Polynesia,86.43,13.13,140
PAK,92.94,92.84,0.1,Southern Asia,95.88,-2.94,Southern Asia,86.84,9.15,190
CHN,93.1,92.84,0.27,Eastern Asia,91.15,1.95,Eastern Asia,86.98,4.74,192
CMR,93.31,92.84,0.47,Sub-Saharan Africa,96.68,-3.37,Middle Africa,87.65,10.69,170
CAF,93.31,92.84,0.48,Sub-Saharan Africa,96.68,-3.37,Middle Africa,87.34,3.71,158
IRN,93.41,92.84,0.57,Southern Asia,95.88,-2.47,Southern Asia,87.57,5.45,185
ARM,93.46,92.84,0.62,Western Asia,90.18,3.27,Western Asia,87.78,8.21,180
NIC,93.56,92.84,0.72,Latin America & Caribbean,95.39,-1.83,Central America,87.93,7.32,174
ETH,94.31,92.84,1.47,Sub-Saharan Africa,96.68,-2.37,Eastern Africa,89.36,9.92,188
TGO,94.37,92.84,1.54,Sub-Saharan Africa,96.68,-2.31,Western Africa,89.47,9.92,190
SAU,94.4,92.84,1.56,Western Asia,90.18,4.22,Western Asia,89.47,8.87,190
PAN,95.0,92.84,2.16,Latin America & Caribbean,95.39,-0.39,Central America,90.58,9.92,191
NAM,95.21,92.84,2.38,Sub-Saharan Africa,96.68,-1.47,Southern Africa,90.96,9.92,177
EGY,95.29,92.84,2.45,Africa,96.69,-1.41,Northern Africa,91.05,8.87,190
SYR,95.49,92.84,2.66,Western Asia,90.18,5.31,Western Asia,91.4,7.77,93
SDN,95.59,92.84,2.76,Africa,96.69,-1.1,Northern Africa,91.53,7.0,189
