iso3,p3_2025,p3_rank_2025,p1_2025,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,no_pct_2025,abstain_pct_2025,majority_alignment_rate_2025,vote_mix_distance_l1_2025,diff_from_world_avg_2025,region,broad_region
NAM,95.21,112,81.96,96.73,161,0,16,177,91.0,0.0,9.0,90.96,9.92,2.38,Southern Africa,Sub-Saharan Africa
PAN,95.0,113,75.96,94.0,173,0,18,191,90.6,0.0,9.4,90.58,9.92,2.16,Central America,Latin America & Caribbean
SAU,94.4,114,75.01,96.96,170,1,19,190,89.5,0.5,10.0,89.47,8.87,1.56,Western Asia,Western Asia
TGO,94.37,115,69.09,95.89,170,0,20,190,89.5,0.0,10.5,89.47,9.92,1.54,Western Africa,Sub-Saharan Africa
ETH,94.31,116,70.39,94.84,168,0,20,188,89.4,0.0,10.6,89.36,9.92,1.47,Eastern Africa,Sub-Saharan Africa
NIC,93.56,117,70.15,92.34,153,15,6,174,87.9,8.6,3.4,87.93,7.32,0.72,Central America,Latin America & Caribbean
ARM,93.46,118,73.8,90.91,158,2,20,180,87.8,1.1,11.1,87.78,8.21,0.62,Western Asia,Western Asia
IRN,93.41,119,64.18,95.45,162,5,18,185,87.6,2.7,9.7,87.57,5.45,0.57,Southern Asia,Southern Asia
CAF,93.31,120,53.66,93.96,138,6,14,158,87.3,3.8,8.9,87.34,3.71,0.48,Middle Africa,Sub-Saharan Africa
CMR,93.31,121,64.3,93.13,149,0,21,170,87.6,0.0,12.4,87.65,10.69,0.47,Middle Africa,Sub-Saharan Africa
CHN,93.1,122,63.09,97.15,167,7,18,192,87.0,3.6,9.4,86.98,4.74,0.27,Eastern Asia,Eastern Asia
PAK,92.94,123,66.32,94.84,165,3,22,190,86.8,1.6,11.6,86.84,9.15,0.1,Southern Asia,Southern Asia
WSM,92.58,124,76.48,93.34,121,0,19,140,86.4,0.0,13.6,86.43,13.13,-0.25,Polynesia,Oceania
TON,92.06,125,29.4,94.51,148,12,14,174,85.1,6.9,8.0,85.06,5.95,-0.78,Polynesia,Oceania
MLT,91.67,126,69.25,96.65,162,14,16,192,84.4,7.3,8.3,84.38,7.31,-1.16,Southern Europe,Southern Europe
PNG,91.42,127,59.68,94.7,152,16,13,181,84.0,8.8,7.2,83.98,8.11,-1.41,Melanesia,Oceania
NZL,91.36,128,72.03,89.72,161,16,15,192,83.9,8.3,7.8,83.85,8.36,-1.47,Australia and New Zealand,Oceania
