broad_region,iso3,region,p2_2024,p2_2025,p2_change,region_avg_change,contribution_to_region_avg_change,total_2024,total_2025
Sub-Saharan Africa,BWA,Southern Africa,96.87,100.0,3.13,3.05,0.07,78,144
Sub-Saharan Africa,GIN,Western Africa,96.39,99.64,3.25,3.05,0.07,90,173
Sub-Saharan Africa,ETH,Eastern Africa,91.84,94.84,3.0,3.05,0.06,92,188
Sub-Saharan Africa,GNB,Western Africa,96.87,99.59,2.71,3.05,0.06,77,156
Sub-Saharan Africa,KEN,Eastern Africa,95.7,98.61,2.9,3.05,0.06,94,179
Sub-Saharan Africa,MOZ,Eastern Africa,96.25,98.98,2.74,3.05,0.06,86,186
Sub-Saharan Africa,SWZ,Southern Africa,97.28,99.99,2.7,3.05,0.06,59,84
Sub-Saharan Africa,SYC,Eastern Africa,95.05,97.77,2.72,3.05,0.06,84,171
Sub-Saharan Africa,ZAF,Southern Africa,94.94,98.05,3.1,3.05,0.06,95,192
Sub-Saharan Africa,LSO,Southern Africa,96.38,98.94,2.56,3.05,0.05,89,176
Sub-Saharan Africa,MRT,Western Africa,96.41,99.0,2.59,3.05,0.05,89,187
Sub-Saharan Africa,MUS,Eastern Africa,96.4,98.64,2.25,3.05,0.05,91,185
Sub-Saharan Africa,NGA,Western Africa,95.39,97.65,2.26,3.05,0.05,88,161
Sub-Saharan Africa,BFA,Western Africa,95.66,97.36,1.7,3.05,0.04,81,170
Sub-Saharan Africa,GMB,Western Africa,96.96,98.91,1.95,3.05,0.04,84,173
Sub-Saharan Africa,GNQ,Middle Africa,100.0,98.06,-1.94,3.05,-0.04,71,161
Sub-Saharan Africa,SEN,Western Africa,97.27,98.98,1.71,3.05,0.04,88,185
Sub-Saharan Africa,UGA,Eastern Africa,96.26,98.29,2.03,3.05,0.04,87,184
Sub-Saharan Africa,DJI,Eastern Africa,97.21,98.61,1.4,3.05,0.03,90,182
Sub-Saharan Africa,GHA,Western Africa,98.18,99.63,1.45,3.05,0.03,90,171
Sub-Saharan Africa,BEN,Western Africa,97.4,98.39,0.99,3.05,0.02,62,79
Sub-Saharan Africa,COG,Middle Africa,100.0,98.86,-1.14,3.05,-0.02,85,164
Sub-Saharan Africa,SLE,Western Africa,98.08,98.93,0.85,3.05,0.02,89,177
Sub-Saharan Africa,TZA,Eastern Africa,98.09,98.9,0.81,3.05,0.02,84,171
Sub-Saharan Africa,AGO,Middle Africa,98.26,98.67,0.41,3.05,0.01,92,189
Sub-Saharan Africa,GAB,Middle Africa,98.98,99.61,0.62,3.05,0.01,84,174
Sub-Saharan Africa,NAM,Southern Africa,97.35,96.73,-0.62,3.05,-0.01,91,177
Sub-Saharan Africa,SOM,Eastern Africa,98.52,98.15,-0.37,3.05,-0.01,69,137
Sub-Saharan Africa,SSD,Eastern Africa,71.3,71.84,0.54,3.05,0.01,19,56
Sub-Saharan Africa,TCD,Middle Africa,98.92,99.31,0.39,3.05,0.01,89,186
Western Asia,GEO,Western Asia,40.51,80.12,39.61,8.85,2.33,93,183
Western Asia,TUR,Western Asia,66.19,85.96,19.76,8.85,1.16,92,188
Western Asia,ARM,Western Asia,71.48,90.91,19.43,8.85,1.14,90,180
Western Asia,SYR,Western Asia,80.47,98.6,18.13,8.85,1.07,74,93
Western Asia,CYP,Western Asia,68.84,86.02,17.18,8.85,1.01,95,192
Western Asia,OMN,Western Asia,93.8,98.94,5.14,8.85,0.3,94,192
Western Asia,SAU,Western Asia,92.01,96.96,4.95,8.85,0.29,94,190
Western Asia,LBN,Western Asia,93.6,98.24,4.64,8.85,0.27,94,192
Western Asia,QAT,Western Asia,95.08,98.89,3.81,8.85,0.22,95,192
Western Asia,IRQ,Western Asia,95.35,98.88,3.54,8.85,0.21,95,189
