iso3,p1_2024,yes_2024,no_2024,abstain_2024,total_2024,p1_2025,yes_2025,no_2025,abstain_2025,total_2025,p1_change,total_change,yes_pct_2024,yes_pct_2025,yes_pct_change,region,broad_region
ALB,69.10494053507853,53,22,20,95,68.04947585793906,136,20,33,189,-1.06,94,55.8,72.0,16.2,Southern Europe,Southern Europe
ZWE,75.22606963585514,75,6,10,91,74.2567427826792,167,3,12,182,-0.97,91,82.4,91.8,9.4,Eastern Africa,Sub-Saharan Africa
SYC,93.49031853560048,82,0,2,84,92.554647925987,170,0,1,171,-0.94,87,97.6,99.4,1.8,Eastern Africa,Sub-Saharan Africa
NAM,82.8702366279764,82,0,9,91,81.95623334332234,161,0,16,177,-0.91,86,90.1,91.0,0.9,Southern Africa,Sub-Saharan Africa
LBN,82.96445912157581,81,1,12,94,82.10595963836182,182,1,9,192,-0.86,98,86.2,94.8,8.6,Western Asia,Western Asia
BWA,81.49033255097888,73,1,4,78,80.66320265362508,138,0,6,144,-0.83,66,93.6,95.8,2.2,Southern Africa,Sub-Saharan Africa
ESP,71.42897881264442,57,20,18,95,70.68551546285791,152,20,20,192,-0.74,97,60.0,79.2,19.2,Southern Europe,Southern Europe
ROU,68.45053204087672,50,23,22,95,68.01325651382213,143,24,25,192,-0.44,97,52.6,74.5,21.9,Eastern Europe,Eastern Europe
GEO,66.11068670608933,44,10,39,93,65.67177678957617,133,11,39,183,-0.44,90,47.3,72.7,25.4,Western Asia,Western Asia
KHM,85.57379983526941,85,0,7,92,85.30348713871408,181,0,9,190,-0.27,98,92.4,95.3,2.9,South-eastern Asia,South-eastern Asia
CPV,97.0003987954183,80,0,0,80,96.771449046632,184,0,0,184,-0.23,104,100.0,100.0,0.0,Western Africa,Sub-Saharan Africa
GTM,76.71999194280195,88,0,7,95,76.53033716860749,190,0,2,192,-0.19,97,92.6,99.0,6.4,Central America,Latin America & Caribbean
HTI,84.39147030846706,74,0,7,81,84.36128524989502,164,1,6,171,-0.03,90,91.4,95.9,4.5,Caribbean,Latin America & Caribbean
ERI,75.41298127810143,85,7,3,95,75.39318335467526,173,5,3,181,-0.02,86,89.5,95.6,6.1,Eastern Africa,Sub-Saharan Africa
BTN,88.06311469946313,84,0,8,92,88.25447584306637,179,0,5,184,0.19,92,91.3,97.3,6.0,Southern Asia,Southern Asia
UZB,79.53787099500349,74,2,8,84,79.76732733346634,161,1,8,170,0.23,86,88.1,94.7,6.6,Central Asia,Central Asia
DJI,84.11852507892817,86,1,3,90,84.45659315270903,177,0,5,182,0.34,92,95.6,97.3,1.7,Eastern Africa,Sub-Saharan Africa
PHL,80.03967626880073,84,0,11,95,80.42445884487253,188,0,4,192,0.38,97,88.4,97.9,9.5,South-eastern Asia,South-eastern Asia
ECU,78.90831361146324,80,0,11,91,79.72630824773334,174,0,14,188,0.82,97,87.9,92.6,4.7,South America,Latin America & Caribbean
HUN,65.28770363106399,48,31,16,95,66.29734122442508,131,33,28,192,1.01,97,50.5,68.2,17.7,Eastern Europe,Eastern Europe
FIN,70.67035655512672,55,20,20,95,71.80009077059155,150,22,20,192,1.13,97,57.9,78.1,20.2,Northern Europe,Northern Europe
BGR,67.14418172974244,53,21,21,95,68.41797840955444,140,22,29,191,1.27,96,55.8,73.3,17.5,Eastern Europe,Eastern Europe
NLD,69.2955971516387,54,20,20,94,70.59945523951237,149,19,22,190,1.3,96,57.4,78.4,21.0,Western Europe,Western Europe
