partner,sim_2024,sim_2025,sim_change,is_key_partner,region,sim_CHN_2024,sim_CHN_2025,sim_CHN_change,sim_RUS_2024,sim_RUS_2025,sim_RUS_change
CYP,0.1367119058318231,-0.6650639780897203,-0.8018,False,Western Asia,0.2547822383224974,0.6896551724137925,0.4349,-0.122096572626376,0.4610970155801183,0.5832
PAN,-0.0256938698206553,-0.8183157173239436,-0.7926,False,Central America,0.4872218408972133,0.8242109153494603,0.337,0.0126208714810705,0.5606936416184969,0.5481
MHL,0.1242835507562028,-0.6627366504986305,-0.787,False,Micronesia,0.3566951336514963,0.6875458795849662,0.3309,-0.0244193145252752,0.4657352720962245,0.4902
URY,-0.1183618455331153,-0.8664216634271291,-0.7481,False,South America,0.5823424725815445,0.8689717588767458,0.2866,0.1395348837209302,0.6122420108833422,0.4727
TON,0.0402295159593644,-0.6818941410257301,-0.7221,False,Polynesia,0.2886478637870818,0.6952217871538063,0.4066,-0.1844341797992897,0.4447835090717687,0.6292
SRB,-0.0285801789453476,-0.7407854739671795,-0.7122,False,Southern Europe,0.51265889002741,0.7680707128233357,0.2554,0.2807726262279563,0.6313830915788542,0.3506
GTM,-0.1638127320203181,-0.8664216634271291,-0.7026,False,Central America,0.6236608207451922,0.8689717588767458,0.2453,0.183920195948681,0.6067263170916003,0.4228
CHL,-0.1735525336251558,-0.8664216634271291,-0.6929,False,South America,0.6166923247028442,0.8689717588767458,0.2523,0.1704985848676183,0.6012106232998585,0.4307
CRI,-0.1619823647168121,-0.841542619201849,-0.6796,False,Central America,0.6166923247028442,0.8429094851474703,0.2262,0.1818651571921262,0.5917394905886365,0.4099
MEX,-0.1916202019061214,-0.871018097079164,-0.6794,True,Central America,0.6383372009823075,0.8625237245134181,0.2242,0.2117793624007552,0.5988551369866625,0.3871
DOM,-0.174524824334308,-0.8509516342902761,-0.6764,False,Caribbean,0.6320731185952673,0.8639153882608728,0.2318,0.1943142686844472,0.6036911923927126,0.4094
ECU,-0.1595362254439901,-0.8215496199931844,-0.662,False,South America,0.5534700659692903,0.8275862068965509,0.2741,0.120560705542603,0.5648438440856446,0.4443
GUY,-0.2094297892011697,-0.871018097079164,-0.6616,False,South America,0.679776750187363,0.8846397174496596,0.2049,0.2171747708826175,0.6265799118471561,0.4094
MMR,-0.1966928714418433,-0.8563717083940359,-0.6597,False,South-eastern Asia,0.6404112602683383,0.8639153882608728,0.2235,0.1932317295166341,0.5925117258669217,0.3993
WSM,-0.0975805247114082,-0.7506135949703855,-0.653,False,Polynesia,0.4286589189119482,0.7029636404095297,0.2743,0.0410843276748582,0.5114650743087112,0.4704
SGP,-0.2326997657790774,-0.8834720789128345,-0.6508,False,South-eastern Asia,0.7394062896774828,0.8973572742580678,0.158,0.2514655241798729,0.6372295919700856,0.3858
LBR,-0.138289968940837,-0.7875477233474744,-0.6493,False,Western Africa,0.4819423563042375,0.8037730823835834,0.3218,0.0135856524323203,0.5557154761852074,0.5421
SUR,-0.21862199778627,-0.8664216634271291,-0.6478,False,South America,0.6486769225860244,0.879971401394173,0.2313,0.2034710298915086,0.617757704675084,0.4143
TUV,-0.0726931570028224,-0.713274522957735,-0.6406,False,Polynesia,0.3725538323297274,0.7138376900436695,0.3413,0.0428483991780031,0.4860223813312119,0.4432
TGO,-0.2262848189276258,-0.8650835596735083,-0.6388,False,Western Africa,0.6139662688617951,0.8779663328834457,0.264,0.1961496678622279,0.641423951440176,0.4453
BHS,-0.2118233502218549,-0.8470071816641986,-0.6352,False,Caribbean,0.6754836711711948,0.8710064679857195,0.1955,0.2080959620719093,0.6142819473729657,0.4062
JAM,-0.2340181886004544,-0.8679529053982725,-0.6339,False,Caribbean,0.6836282073553069,0.8814581485458273,0.1978,0.2299002449358513,0.6171335028310558,0.3872
TTO,-0.2559697423569851,-0.8864994376320411,-0.6305,False,Caribbean,0.7513321975755067,0.8949417725031339,0.1436,0.2514655241798729,0.6299396137423803,0.3785
ARM,-0.1797769596230881,-0.8101135521587735,-0.6303,False,Western Asia,0.6803892089001002,0.8570406514051232,0.1767,0.3668126156726499,0.6551540876867945,0.2883
THA,-0.267604730645939,-0.8973104063836513,-0.6297,False,South-eastern Asia,0.7274803817794588,0.9005004170528428,0.173,0.2743260263780432,0.6466636742842136,0.3723
CIV,-0.2346394376501482,-0.8634008690512477,-0.6288,False,Western Africa,0.6455696202531644,0.8710064679857195,0.2254,0.2062462923726304,0.6030107189808012,0.3968
PER,-0.228874303561587,-0.8555890072336829,-0.6267,False,South America,0.6803314288304526,0.8574153649023357,0.1771,0.2360892189669762,0.5901205012603532,0.354
