iso3,sim_change_vs_CHN,sim_change_vs_ISR,sim_change_vs_RUS,sim_change_vs_USA,p1_change,region,broad_region
NER,0.0923,0.0529,0.2703,-0.3824,3.28,Western Africa,Sub-Saharan Africa
BDI,0.0574,0.0296,0.3102,-0.3776,-7.44,Eastern Africa,Sub-Saharan Africa
MLI,0.1032,0.0228,0.2463,-0.375,3.47,Western Africa,Sub-Saharan Africa
SDN,0.0924,0.0635,0.2767,-0.3628,-1.29,Northern Africa,Africa
SOM,0.0917,-0.0141,0.1865,-0.3576,4.91,Eastern Africa,Sub-Saharan Africa
KIR,-0.0282,0.006,0.0894,-0.3058,2.77,Micronesia,Oceania
IRN,0.0998,0.1452,0.2461,-0.2934,-12.03,Southern Asia,Southern Asia
TKM,0.0708,0.002,0.1394,-0.2747,-7.81,Central Asia,Central Asia
BLR,0.1157,0.0771,0.1424,-0.265,-14.23,Eastern Europe,Eastern Europe
ARG,-0.0987,-0.1878,-0.0267,-0.2349,-23.15,South America,Latin America & Caribbean
DMA,-0.0417,-0.0879,0.0573,-0.2053,-22.0,Caribbean,Latin America & Caribbean
NIC,0.0799,0.0815,0.1592,-0.1812,-10.32,Central America,Latin America & Caribbean
ISR,0.0244,,0.0877,-0.1744,-8.38,Western Asia,Western Asia
RUS,0.1894,0.0877,,-0.1692,-2.08,Eastern Europe,Eastern Europe
BEN,0.0028,0.1125,-0.033,-0.1678,5.92,Western Africa,Sub-Saharan Africa
NRU,0.1217,-0.0363,0.1277,-0.167,2.76,Micronesia,Oceania
PRK,0.0654,0.1747,0.1053,-0.0909,-12.93,Eastern Asia,Eastern Asia
BOL,-0.3881,0.4337,0.0397,-0.0066,-14.52,South America,Latin America & Caribbean
SYR,-0.0526,0.2985,0.027,0.034,-18.14,Western Asia,Western Asia
STP,-0.1316,0.2816,0.0888,0.0815,94.14,Middle Africa,Sub-Saharan Africa
VCT,-0.4407,0.3043,-0.1418,0.1138,-21.34,Caribbean,Latin America & Caribbean
MDG,-0.4934,0.3763,-0.1087,0.1693,-30.25,Eastern Africa,Sub-Saharan Africa
USA,-0.4273,-0.1744,-0.1692,,-26.81,Northern America,Northern America
